Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),Var1,Var2,Var3,Country,"Concrete compressive strength(MPa, megapascals) "
540,0,0,162,2.5,1040,676,28,1,1,2,Brazil,79.99
540,0,0,162,2.5,1055,676,28,2,1,3,Brazil,61.89
332.5,142.5,0,228,0,932,594,270,2,1,2,Brazil,40.27
332.5,142.5,0,228,0,932,594,365,1,0,3,Brazil,41.05
198.6,132.4,0,192,0,978.4,825.5,360,1,1,3,Brazil,44.3
266,114,0,228,0,932,670,90,1,0,2,Brazil,47.03
380,95,0,228,0,932,594,365,1,0,2,Brazil,43.7
380,95,0,228,0,932,594,28,2,0,2,Brazil,36.45
266,114,0,228,0,932,670,28,2,1,2,Brazil,45.85
475,0,0,228,0,932,594,28,2,1,2,Brazil,39.29
198.6,132.4,0,192,0,978.4,825.5,90,2,1,3,Brazil,38.07
198.6,132.4,0,192,0,978.4,825.5,28,2,0,2,Brazil,28.02
427.5,47.5,0,228,0,932,594,270,1,1,3,Brazil,43.01
190,190,0,228,0,932,670,90,2,0,2,Brazil,42.33
304,76,0,228,0,932,670,28,1,0,2,Brazil,47.81
380,0,0,228,0,932,670,90,1,1,2,Brazil,52.91
139.6,209.4,0,192,0,1047,806.9,90,1,1,2,Brazil,39.36
342,38,0,228,0,932,670,365,1,1,3,Brazil,56.14
380,95,0,228,0,932,594,90,1,0,2,Brazil,40.56
475,0,0,228,0,932,594,180,2,1,2,Brazil,42.62
427.5,47.5,0,228,0,932,594,180,2,1,3,Brazil,41.84
139.6,209.4,0,192,0,1047,806.9,28,2,0,3,Brazil,28.24
139.6,209.4,0,192,0,1047,806.9,3,2,0,3,Brazil,8.06
139.6,209.4,0,192,0,1047,806.9,180,1,1,3,Brazil,44.21
380,0,0,228,0,932,670,365,2,1,2,Brazil,52.52
380,0,0,228,0,932,670,270,1,0,3,Brazil,53.3
380,95,0,228,0,932,594,270,2,0,3,Brazil,41.15
342,38,0,228,0,932,670,180,1,1,3,Brazil,52.12
427.5,47.5,0,228,0,932,594,28,1,0,2,Brazil,37.43
475,0,0,228,0,932,594,7,1,0,3,Brazil,38.6
304,76,0,228,0,932,670,365,1,0,2,Brazil,55.26
266,114,0,228,0,932,670,365,2,1,3,Brazil,52.91
198.6,132.4,0,192,0,978.4,825.5,180,2,1,2,Brazil,41.72
475,0,0,228,0,932,594,270,2,1,3,Brazil,42.13
190,190,0,228,0,932,670,365,1,1,2,Brazil,53.69
237.5,237.5,0,228,0,932,594,270,2,0,2,Brazil,38.41
237.5,237.5,0,228,0,932,594,28,1,1,3,Brazil,30.08
332.5,142.5,0,228,0,932,594,90,1,1,3,Brazil,37.72
475,0,0,228,0,932,594,90,2,1,3,Brazil,42.23
237.5,237.5,0,228,0,932,594,180,2,1,2,Brazil,36.25
342,38,0,228,0,932,670,90,1,0,3,Brazil,50.46
427.5,47.5,0,228,0,932,594,365,1,1,2,Brazil,43.7
237.5,237.5,0,228,0,932,594,365,2,0,3,Brazil,39
380,0,0,228,0,932,670,180,2,1,2,Brazil,53.1
427.5,47.5,0,228,0,932,594,90,1,1,2,Brazil,41.54
427.5,47.5,0,228,0,932,594,7,2,1,2,Brazil,35.08
349,0,0,192,0,1047,806.9,3,1,1,2,Brazil,15.05
380,95,0,228,0,932,594,180,2,1,3,Brazil,40.76
237.5,237.5,0,228,0,932,594,7,1,1,3,Brazil,26.26
380,95,0,228,0,932,594,7,1,0,3,Brazil,32.82
332.5,142.5,0,228,0,932,594,180,2,1,3,Brazil,39.78
190,190,0,228,0,932,670,180,1,1,3,Brazil,46.93
237.5,237.5,0,228,0,932,594,90,1,0,3,Brazil,33.12
304,76,0,228,0,932,670,90,1,0,3,Brazil,49.19
139.6,209.4,0,192,0,1047,806.9,7,2,0,2,Brazil,14.59
198.6,132.4,0,192,0,978.4,825.5,7,1,0,3,Brazil,14.64
475,0,0,228,0,932,594,365,1,0,3,Brazil,41.93
